,Date [YYYY-MM],Temperature [Â°C],QCFLAG
489,1990-10,,C
490,1990-11,,C
491,1990-12,,C
492,1991-01,,C
493,1991-02,,C
494,1991-03,,C
495,1991-04,,C
496,1991-05,,C
497,1991-06,,C
498,1991-07,,C
499,1991-08,,C
500,1991-09,,C
501,1991-10,,C
502,1991-11,,C
503,1991-12,,C
504,1992-01,,C
505,1992-02,,C
506,1992-03,,C
507,1992-04,,C
508,1992-05,,C
509,1992-06,,C
510,1992-07,,C
511,1992-08,,C
512,1992-09,,C
513,1992-10,,C
514,1992-11,,C
515,1992-12,,C
516,1993-01,,C
517,1993-02,,C
518,1993-03,,C
519,1993-04,,C
520,1993-05,,C
521,1993-06,,C
522,1993-07,,C
523,1993-08,,C
524,1993-09,,C
525,1993-10,,C
526,1993-11,,C
527,1993-12,,C
528,1994-01,,C
529,1994-02,,C
530,1994-03,,C
531,1994-04,,C
532,1994-05,,C
533,1994-06,,C
534,1994-07,,C
535,1994-08,,C
536,1994-09,,C
537,1994-10,,C
538,1994-11,,C
539,1994-12,,C
540,1995-01,, 
541,1995-02,, 
542,1995-03,,C
543,1995-04,, 
544,1995-05,, 
545,1995-06,, 
546,1995-07,, 
547,1995-08,, 
548,1995-09,, 
549,1995-10,, 
550,1995-11,, 
551,1995-12,, 
552,1996-01,,C
553,1996-02,,C
554,1996-03,,C
555,1996-04,,C
556,1996-05,,C
557,1996-06,,C
558,1996-07,,C
559,1996-08,,C
560,1996-09,,C
561,1996-10,,C
562,1996-11,,C
563,1996-12,,C
564,1997-01,,C
565,1997-02,,C
566,1997-03,,C
567,1997-04,,C
568,1997-05,,C
569,1997-06,,C
570,1997-07,,C
571,1997-08,,C
572,1997-09,,C
573,1997-10,,C
574,1997-11,,C
575,1997-12,,C
576,1998-01,, 
577,1998-02,,C
578,1998-03,,C
579,1998-04,,C
580,1998-05,,C
581,1998-06,,C
582,1998-07,,C
583,1998-08,,C
584,1998-09,,C
585,1998-10,,C
586,1998-11,,C
587,1998-12,,C
588,1999-01,,C
589,1999-02,,C
590,1999-03,,C
591,1999-04,,C
592,1999-05,,C
593,1999-06,,C
594,1999-07,,C
595,1999-08,,C
596,1999-09,,C
597,1999-10,,C
598,1999-11,,C
599,1999-12,,C
600,2000-01,,C
601,2000-02,,C
602,2000-03,,C
603,2000-04,,C
604,2000-05,,C
605,2000-06,,C
606,2000-07,,C
607,2000-08,,C
608,2000-09,,C
609,2000-10,,C
610,2000-11,,C
611,2000-12,,C
