,Code,Latitude,Longitude,Elevation,Name,Time Range,Time
95,CA002202800,65.2833,-126.8,73.0,NORMAN_WELLS_A,1943-2013,70 years
96,CA002202801,65.2833,-126.8,73.0,NORMAN_WELLS,1945-2021,76 years
97,CA002202810,65.2833,-126.75,94.0,NORMAN_WELLS_CLIMATE,1987-2021,34 years
98,CA002203057,69.3667,-124.0833,5.0,PAULATUK_A,1985-2013,28 years
99,CA002203058,69.35,-124.0833,6.0,PAULATUK,1994-2021,27 years
100,CA002203095,69.6333,-135.45,17.0,PELLY_ISLAND,1995-2021,26 years
101,CA002203300,66.0833,-118.0333,191.0,PORT_RADIUM,1937-1981,44 years
102,CA002203342,61.9667,-127.2167,618.0,RABBIT_KETTLE,1995-2019,24 years
103,CA002203359,64.1167,-117.3333,223.0,RAE_LAKES,1995-2021,26 years
104,CA002203700,63.5167,-116.0,241.0,SNARE_RAPIDS,1948-1975,27 years
105,CA002203910,69.45,-133.0,18.0,TUKTOYAKTUK,1948-1993,45 years
106,CA002203912,69.4333,-133.0333,4.0,TUKTOYAKTUK_A,1970-2010,40 years
107,CA002203914,69.4333,-133.0167,5.0,TUKTOYAKTUK,1973-2021,48 years
108,CA002203918,69.2,-122.3667,552.0,TUKTUT_NOGAIT,1999-2021,22 years
109,CA002203922,61.95,-128.25,1143.0,TUNGSTEN,1966-1990,24 years
110,CA002204000,63.2167,-123.4333,150.0,WRIGLEY_A,1943-2007,64 years
111,CA002204100,62.4667,-114.4333,206.0,YELLOWKNIFE_A,1942-2012,70 years
112,CA002204101,62.4667,-114.4333,206.0,YELLOWKNIFE_A,1981-2021,40 years
113,CA002204110,62.45,-114.3833,200.0,YELLOWKNIFE_HENDERSON,2007-2021,14 years
114,CA002204200,62.6667,-114.25,159.0,YELLOWKNIFE_HYDRO,1943-2000,57 years
115,CA002204300,61.25,-123.75,204.0,YOHIN,1957-2021,64 years
116,CA00220B68C,69.6,-130.9167,102.0,LIVERPOOL_BAY,1995-2021,26 years
117,CA00220B6Q3,67.1833,-130.2333,63.0,LITTLE_CHICAGO,1995-2021,26 years
118,CA00220CQHR,60.4333,-121.2333,498.0,TROUT_LAKE,1995-2021,26 years
119,CA00220L002,62.4167,-110.6833,179.0,LUTSELK'E_CS,2000-2017,17 years
120,CA00220N001,64.7,-110.6167,468.0,EKATI_A,1998-2008,10 years
121,CA00220N003,61.1333,-122.85,183.0,LINDBURG_LANDING,1998-2021,23 years
122,CA00220N005,68.75,-133.5,85.0,TRAIL_VALLEY,1998-2021,23 years
123,CA002300500,64.3,-96.0833,19.0,BAKER_LAKE_A,1946-2021,75 years
124,CA002300501,64.3167,-96.0,51.0,BAKER_LAKE_CLIMATE,1971-2021,50 years
125,CA002300551,66.8333,-108.0167,5.0,BATHURST_INLET,1957-2021,64 years
126,CA002300700,63.3333,-90.7167,59.0,CHESTERFIELD,1921-1981,60 years
127,CA002300707,63.35,-90.7333,10.0,CHESTERFIELD_INLET_A,1931-2013,82 years
128,CA002300750,69.5833,-120.8,101.0,CLINTON_POINT,1957-1993,36 years
129,CA002300850,65.4833,-110.3667,451.0,CONTWOYTO_LAKE,1959-1981,22 years
130,CA002300900,67.8333,-115.1167,9.0,COPPERMINE,1930-2004,74 years
131,CA002300902,67.8167,-115.15,23.0,KUGLUKTUK_A,1944-2021,77 years
132,CA002300904,67.8167,-115.1333,23.0,KUGLUKTUK_CLIMATE,2004-2021,17 years
133,CA002300MKF,61.1,-94.0667,10.0,ARVIAT_A,1973-2012,39 years
134,CA002301000,64.2,-83.3667,62.0,CORAL_HARBOUR_A,1933-2021,88 years
135,CA002301100,61.1333,-100.9,325.0,ENNADAI_LAKE,1949-1979,30 years
136,CA002301102,61.1333,-100.8833,353.0,ENNADAI_LAKE_AUT,1957-2021,64 years
137,CA002301153,61.1,-94.0667,10.0,ARVIAT_CLIMATE,2004-2021,17 years
138,CA002302335,68.6333,-95.85,47.0,GJOA_HAVEN_A,1984-2008,24 years
139,CA002302337,68.6333,-95.85,47.0,GJOA_HAVEN,1996-2021,25 years
140,CA002302340,68.6333,-95.85,42.0,GJOA_HAVEN_CLIMATE,2003-2021,18 years
141,CA002302370,68.3167,-100.0833,36.0,HAT_ISLAND,1959-2021,62 years
142,CA002302680,68.5,-113.2167,16.0,LADY_FRANKLIN_POINT_A,1957-1999,42 years
143,CA0023026HN,65.7667,-111.25,490.0,LUPIN_A,1982-2013,31 years
144,CA002303090,68.4333,-89.7167,326.0,PELLY_BAY,1958-1992,34 years
145,CA002303092,68.5333,-89.8,16.0,KUGAARUK_A,1984-2012,28 years
146,CA002303093,68.4333,-89.7333,328.0,CAM_FOUR,1993-2019,26 years
147,CA002303094,68.5333,-89.8,16.0,KUGAARUK_CLIMATE,2004-2021,17 years
148,CA002303401,62.8167,-92.1167,32.0,RANKIN_INLET_A,1981-2013,32 years
149,CA002303610,65.1,-102.4333,244.0,ROBERTSON_LAKE_AUT,1980-2021,41 years
150,CA002303685,68.8167,-93.4333,43.0,SHEPHERD_BAY_A,1957-2021,64 years
151,CA002303986,62.2333,-92.6,12.0,WHALE_COVE_A,1985-2013,28 years
152,CA00230J01Q,69.2833,-119.2167,69.0,CROKER_RIVER,1995-2021,26 years
153,CA00230N002,65.75,-111.25,488.0,LUPIN_CS,1998-2021,23 years
154,CA002400300,82.5167,-62.2833,30.0,ALERT,1950-2006,56 years
155,CA002400305,82.5,-62.3333,65.0,ALERT_CLIMATE,2004-2021,17 years
156,CA002400306,82.5,-62.3333,65.0,ALERT_UA,1950-2006,56 years
157,CA002400400,73.0333,-85.15,22.0,ARCTIC_BAY,1937-2002,65 years
158,CA002400404,73.0,-85.0167,10.0,ARCTIC_BAY_CS,1999-2021,22 years
159,CA002400565,63.3333,-64.15,376.0,BREVOORT_ISLAND,1959-2021,62 years
160,CA002400570,67.5333,-63.7833,584.0,FOX_FIVE,1958-2021,63 years
161,CA002400572,67.55,-64.0333,6.0,QIKIQTARJUAQ_A,1986-2013,27 years
162,CA002400573,67.55,-64.0333,6.0,QIKIQTARJUAQ_CLIMATE,2005-2021,16 years
163,CA002400577,67.55,-64.0333,6.0,QIKIQTARJUAQ,2002-2021,19 years
164,CA002400595,68.75,-109.0667,92.0,BYRON_BAY_A,1957-1993,36 years
165,CA002400600,69.1,-105.1333,31.0,CAMBRIDGE_BAY_A,1929-2021,92 years
166,CA002400602,69.1,-105.1333,19.0,CAMBRIDGE_BAY_GSN,1941-2021,80 years
167,CA002400634,64.2333,-76.5333,48.0,CAPE_DORSET_AWOS,1963-2012,49 years
168,CA002400635,64.2333,-76.5333,48.0,CAPE_DORSET_A,1963-2021,58 years
169,CA002400636,64.2333,-76.5333,50.0,CAPE_DORSET_CLIMATE,2005-2021,16 years
170,CA002400637,64.2333,-76.5333,48.0,CAPE_DORSET,1977-2021,44 years
171,CA002400650,66.65,-61.3833,725.0,CAPE_DYER,1958-2021,63 years
172,CA002400654,66.5833,-61.6167,393.0,CAPE_DYER_A,1956-2021,65 years
173,CA002400660,68.4667,-66.8167,390.0,CAPE_HOOPER,1957-2021,64 years
174,CA002400697,69.0333,-107.8167,165.0,CAPE_PEEL_WEST,1995-2021,26 years
175,CA002400800,70.4833,-68.5167,27.0,CLYDE_A,1933-2008,75 years
176,CA002400802,70.4833,-68.5167,27.0,CLYDE_RIVER_CLIMATE,1973-2021,48 years
177,CA002400804,70.4833,-68.5167,27.0,CLYDE_RIVER,1977-2021,44 years
178,CA002400F63,64.95,-63.5833,583.0,CAPE_MERCY,1995-2018,23 years
179,CA002401030,68.65,-71.1667,527.0,DEWAR_LAKES,1958-2021,63 years
180,CA002401200,79.9833,-85.9333,10.0,EUREKA,1947-2021,74 years
181,CA002402051,72.0167,-94.2,10.0,FORT_ROSS,1995-2021,26 years
182,CA002402332,70.6333,-100.2667,20.0,GATESHEAD_ISLAND,1973-2021,48 years
183,CA002402340,68.6667,-97.8,14.0,GLADMAN_POINT_A,1957-1992,35 years
184,CA002402350,68.7833,-81.25,9.0,HALL_BEACH_A,1957-2021,64 years
185,CA002402353,68.7833,-81.25,8.0,HALL_BEACH_CLIMATE,1971-2021,50 years
186,CA002402354,68.7833,-81.25,9.0,HALL_BEACH,1961-2021,60 years
187,CA002402540,69.3833,-81.8,21.0,IGLOOLIK,1977-2002,25 years
188,CA002402543,69.3667,-81.8167,53.0,IGLOOLIK_A,1984-2010,26 years
189,CA002402590,63.75,-68.55,34.0,IQALUIT_A,1946-2010,64 years
190,CA002402592,63.75,-68.55,34.0,IQALUIT_CLIMATE,2004-2021,17 years
191,CA002402594,63.75,-68.55,22.0,IQALUIT_UA,1942-2021,79 years
192,CA002402600,78.7833,-103.5333,25.0,ISACHSEN,1948-2013,65 years
193,CA002402604,78.8,-103.55,58.0,ISACHSEN_AUT,1948-2021,73 years
194,CA002402681,62.8333,-69.9167,17.0,LAKE_HARBOUR,1913-1946,33 years
195,CA002402684,68.9,-75.1333,161.0,LONGSTAFF_BLUFF,1958-2021,63 years
196,CA002402686,68.3,-85.6667,395.0,MACKAR_INLET,1958-1992,34 years
197,CA002402730,72.9833,-84.6167,642.0,NANISIVIK_A,1976-2010,34 years
198,CA002402900,63.1167,-77.9333,17.0,NOTTINGHAM_ISLAND,1927-1970,43 years
199,CA002403000,67.0333,-62.7333,40.0,PADLOPING_ISLAND,1941-1956,15 years
200,CA002403049,66.15,-65.7167,23.0,PANGNIRTUNG,1977-2021,44 years
201,CA002403050,66.1333,-65.7333,15.0,PANGNIRTUNG,1925-2015,90 years
