,Code,Elevation,Latitude,Longitude,Name,Time,Time Range,Unnamed: 0
83,FIE00142035,3.0,60.3733,23.1158,SALO_KARKKA,62 years,1959-2021,258.0
84,FIE00142055,69.0,60.3239,23.71,SALO_SUOMUSJARVI,53 years,1959-2012,259.0
85,FIE00142101,47.0,60.2,24.9167,HELSINKI_ILMALA,62 years,1959-2021,264.0
86,FIE00142106,37.0,60.2439,24.0525,LOHJA_PORLA,62 years,1959-2021,265.0
87,FIE00142116,42.0,60.4183,24.4017,VIHTI_MAASOJA,62 years,1959-2021,267.0
88,FIE00142230,31.0,60.2075,24.7442,ESPOO_SEPANKYLA,56 years,1959-2015,271.0
89,FIE00142256,20.0,60.2831,25.0667,VANTAA_TIKKURILA,55 years,1959-2014,276.0
90,FIE00142261,49.0,60.3667,24.9831,TUUSULA_RUOTSINKYLA,55 years,1959-2014,277.0
91,FIE00142266,17.0,60.4056,25.6589,PORVOO_JERNBOLE,55 years,1959-2014,278.0
92,FIE00142271,45.0,60.4167,25.0331,TUUSULA_HYRYLA,55 years,1959-2014,279.0
93,FIE00142326,10.0,60.3681,25.6267,PORVOO_LEHTIMAKI,55 years,1959-2014,285.0
94,FIE00142331,22.0,60.3914,25.6114,PORVOO_HARABACKA,62 years,1959-2021,286.0
95,FIE00142341,9.0,60.3753,26.9617,KOTKA_RANKKI,62 years,1959-2021,287.0
96,FIE00142390,23.0,60.4542,26.9528,KOTKA_POOKINMAKI,55 years,1959-2014,292.0
97,FIE00142411,13.0,61.4656,21.7967,PORI_PORIN_LENTOASEMA,62 years,1959-2021,295.0
98,FIE00142416,17.0,61.1392,21.3681,RAUMA_KUUSKAJASKARI,55 years,1959-2014,296.0
99,FIE00142426,5.0,61.1167,21.4667,RAUMA_KPKI,55 years,1959-2014,298.0
100,FIE00142495,4.0,61.1444,21.3058,RAUMA_KYLMAPIHLAJA,62 years,1959-2021,301.0
101,FIE00142511,49.0,60.5153,22.2775,TURKU_TURUN_LENTOASEMA,71 years,1950-2021,303.0
102,FIE00142526,37.0,61.2706,22.2519,KOKEMAKI_PEIPOHJA_HYRKOLA,55 years,1959-2014,305.0
103,FIE00142631,38.0,61.2528,22.3494,KOKEMAKI_TULKKILA,62 years,1959-2021,306.0
104,FIE00142641,85.0,61.4667,23.75,TAMPERE_HARMALA_1,55 years,1959-2014,307.0
105,FIE00142746,92.0,61.0,24.45,HAMEENLINNA_KAURIALA,55 years,1959-2014,312.0
106,FIE00142751,86.0,60.5956,24.8064,HYVINKAA_HYVINKAANKYLA,62 years,1959-2021,313.0
107,FIE00142756,88.0,61.0667,24.2331,HATTULA_LETEENSUO,55 years,1959-2014,314.0
108,FIE00142851,87.0,60.9992,24.4944,HAMEENLINNA_KATINEN,62 years,1959-2021,318.0
109,FIE00142861,78.0,60.9617,25.6342,LAHTI_LAUNE,58 years,1961-2019,319.0
110,FIE00142871,125.0,61.0539,25.0419,HAMEENLINNA_LAMMI_PAPPILA,58 years,1963-2021,321.0
111,FIE00142876,127.0,61.1831,25.0831,LAMMI_EVO,55 years,1959-2014,322.0
112,FIE00142916,108.0,61.0831,25.2331,KOSKI_HL_HYRKKALA,51 years,1963-2014,324.0
113,FIE00142921,147.0,61.15,25.25,LAMMI_VESTOLA,55 years,1959-2014,325.0
114,FIE00142991,132.0,61.2,25.1331,LAMMI_EVO,55 years,1959-2014,326.0
115,FIE00142995,87.0,60.9167,25.5831,HOLLOLA_ALA_OKEROINEN,53 years,1961-2014,327.0
116,FIE00143011,129.0,61.1828,25.04,HAMEENLINNA_LAMMI_ISO_EVO,55 years,1959-2014,329.0
117,FIE00143015,80.0,61.265,25.5231,ASIKKALA_PULKKILANHARJU,54 years,1967-2021,330.0
118,FIE00143035,133.0,61.2164,25.1358,HAMEENLINNA_LAMMI_EVO,61 years,1959-2020,332.0
119,FIE00143041,99.0,60.8903,26.9442,KOUVOLA_UTTI_LENTOPORTINTIE,62 years,1959-2021,333.0
120,FIE00143056,33.0,60.6964,26.8133,KOUVOLA_ANJALA,62 years,1959-2021,336.0
121,FIE00143066,92.0,61.1994,26.0528,HEINOLA_ASEMANTAUS,62 years,1959-2021,338.0
122,FIE00143231,106.0,61.0439,28.1542,LAPPEENRANTA_LENTOASEMA,62 years,1959-2021,340.0
123,FIE00143301,75.0,61.4225,29.3944,RAUTJARVI_SIMPELE_KANGASKOSKI,55 years,1959-2014,346.0
124,FIE00143311,4.0,61.5831,21.4831,MANTYLUOTO_PORI,55 years,1959-2014,348.0
125,FIE00143316,5.0,62.3339,21.1939,KASKINEN_SALGRUND,62 years,1959-2021,349.0
126,FIE00143346,1.0,62.2575,21.3208,KRISTIINANKAUPUNKI_KARHUSAARI,54 years,1960-2014,350.0
127,FIE00143365,3.0,61.6303,21.3792,PORI_TAHKOLUOTO,62 years,1959-2021,352.0
128,FIE00143381,122.0,61.8381,22.4669,KANKAANPAA_NIINISALO_LENTOKENT,62 years,1959-2021,354.0
129,FIE00143391,160.0,62.1831,22.8031,KARVIA_ALKKIA,55 years,1966-2021,356.0
130,FIE00143586,145.0,61.8564,24.7892,JAMSA_HALLI_LENTOKENTTA,57 years,1964-2021,362.0
131,FIE00143596,153.0,61.8456,24.2906,JUUPAJOKI_HYYTIALA,62 years,1959-2021,364.0
132,FIE00143691,144.0,61.8592,24.8181,JAMSA_HALLI_LENTOASEMANTIE,57 years,1964-2021,365.0
133,FIE00143797,148.0,62.4,25.6,JYVASKYLAN_MLK_TIKKAKOSKI,61 years,1954-2015,367.0
134,FIE00143822,146.0,61.8792,26.0989,JOUTSA_LEIVONMAKI_SAVENAHO,62 years,1959-2021,372.0
135,FIE00143952,101.0,61.6869,27.21,MIKKELI_LENTOASEMA,62 years,1959-2021,374.0
136,FIE00143962,91.0,62.3081,27.8442,VARKAUS_KAPYKANGAS,55 years,1959-2014,375.0
137,FIE00144057,83.0,62.3217,27.9108,VARKAUS_KOSULANNIEMI,62 years,1959-2021,379.0
138,FIE00144132,78.0,61.8017,29.3181,PUNKAHARJU_LAUKANSAARI,62 years,1959-2021,385.0
139,FIE00144202,90.0,62.235,30.3494,TOHMAJARVI_KEMIE,62 years,1959-2021,387.0
140,FIE00144212,6.0,63.0417,21.7678,VAASA_VAASAN_LENTOASEMA,71 years,1950-2021,388.0
141,FIE00144222,4.0,63.4353,21.0681,MUSTASAARI_VALASSAARET,62 years,1959-2021,389.0
142,FIE00144227,9.0,63.0831,21.65,VAASA_HIETALAHTI,55 years,1959-2014,390.0
143,FIE00144302,4.0,63.1,21.6,VAASA_PALOSAARI,55 years,1959-2014,393.0
144,FIE00144322,26.0,62.9367,22.4908,SEINAJOKI_PELMAA,62 years,1959-2021,395.0
145,FIE00144407,42.0,63.1203,23.0469,KAUHAVA_LENTOKENTTA,62 years,1959-2021,397.0
146,FIE00144477,40.0,63.12,23.0469,KAUHAVA_KK_UUNIMAANTIE,55 years,1959-2014,399.0
147,FIE00144482,157.0,62.5344,24.2206,AHTARI_MYLLYMAKI,62 years,1959-2021,400.0
148,FIE00144557,132.0,63.0817,25.8617,VIITASAARI_HAAPANIEMI,51 years,1970-2021,406.0
149,FIE00144637,120.0,62.9214,26.4281,VESANTO_SONKARI,62 years,1959-2021,407.0
150,FIE00144702,99.0,63.0081,27.8025,SIILINJARVI_KUOPION_LENTOASEMA,62 years,1959-2021,409.0
151,FIE00144712,90.0,63.1431,27.3158,MAANINKA_HALOLA,62 years,1959-2021,411.0
152,FIE00144777,94.0,63.025,27.8081,KUOPIO_AUTOSYNOP,55 years,1959-2014,414.0
153,FIE00144877,121.0,62.6594,29.6144,LIPERI_JOENSUUN_LENTOASEMA,66 years,1955-2021,418.0
154,FIE00144882,116.0,63.2317,29.2378,JUUKA_NIEMELA,59 years,1962-2021,419.0
155,FIE00144972,162.0,62.6667,30.9331,ILOMANTSI_KK,55 years,1959-2014,423.0
156,FIE00144977,106.0,63.3,30.0167,PIELISJARVI,55 years,1959-2014,424.0
157,FIE00144982,98.0,63.3206,30.0492,LIEKSA_LAMPELA,61 years,1960-2021,425.0
158,FIE00145052,155.0,62.7692,30.9778,ILOMANTSI_MEKRIJARVI,61 years,1960-2021,429.0
159,FIE00145087,10.0,63.8831,22.9331,KOKKOLA_OJA_MARASKAR,55 years,1959-2014,431.0
160,FIE00145102,26.0,63.7169,23.1425,KRUUNUPYY_LENTOASEMA,60 years,1961-2021,433.0
161,FIE00145107,4.0,64.3331,23.45,ULKOKALLA_KALAJOKI,55 years,1959-2014,434.0
162,FIE00145151,3.0,64.3306,23.4503,KALAJOKI_ULKOKALLA,62 years,1959-2021,436.0
163,FIE00145242,112.0,64.1417,25.4281,HAAPAVESI_MUSTIKKAMAKI,62 years,1959-2021,443.0
164,FIE00145301,99.0,64.1406,25.605,HAAPAVESI_PIIPSANNEVA,55 years,1959-2014,445.0
165,FIE00145377,147.0,64.2814,27.6783,KAJAANI_LENTOASEMA_1,69 years,1952-2021,447.0
166,FIE00145382,207.0,63.8406,27.2242,VIEREMA_KAARAKKALA,62 years,1959-2021,448.0
167,FIE00145622,14.0,64.9283,25.3506,OULUNSALO_OULUN_LENTOASEMA,62 years,1959-2021,458.0
168,FIE00145627,48.0,64.6833,25.0925,SIIKAJOKI_REVONLAHTI,62 years,1959-2021,459.0
169,FIE00145637,13.0,65.0331,25.4831,OULU_LINNANMAA,55 years,1959-2014,461.0
170,FIE00145661,3.0,65.0056,25.3967,OULU_VIHREASAARI,62 years,1959-2021,463.0
171,FIE00145677,114.0,64.5008,26.4275,VAALA_PELSO,62 years,1959-2021,465.0
172,FIE00145702,121.0,65.3992,26.9667,PUDASJARVI_LENTOKENTTA,62 years,1959-2021,466.0
173,FIE00145712,116.0,65.3667,27.0167,PUDASJARVI_KURENALUS,55 years,1959-2014,467.0
174,FIE00145817,220.0,64.9025,29.0167,SUOMUSSALMI_KK,54 years,1959-2013,473.0
175,FIE00145852,19.0,65.7831,24.5831,KEMINMAA_KEMI_TORNION_LENTOASE,62 years,1959-2021,475.0
176,FIE00145947,154.0,65.9325,26.5164,RANUA_KK,51 years,1963-2014,479.0
177,FIE00145997,161.0,65.9764,26.3714,RANUA_LENTOKENTTA,58 years,1963-2021,480.0
178,FIE00146027,209.0,65.5831,28.25,TAIVALKOSKI_KK,55 years,1959-2014,481.0
179,FIE00146057,203.0,65.5739,28.2481,TAIVALKOSKI_KK_KAUPPATIE,62 years,1959-2021,482.0
180,FIE00146062,264.0,65.995,29.2258,KUUSAMO_LENTOASEMA_1,62 years,1959-2021,483.0
181,FIE00146067,160.0,66.3681,29.3192,KUUSAMO_KIUTAKONGAS,55 years,1966-2021,484.0
182,FIE00146162,92.0,66.5289,24.6531,YLITORNIO_MELTOSJARVI,57 years,1964-2021,488.0
183,FIE00146241,85.0,66.4981,25.7119,ROVANIEMI_RAUTATIEASEMA,62 years,1959-2021,492.0
184,FIE00146258,106.0,66.5789,26.015,ROVANIEMI_APUKKA,62 years,1959-2021,493.0
185,FIE00146338,221.0,66.8208,28.6775,SALLA_KK,53 years,1961-2014,498.0
186,FIE00146343,180.0,67.2853,28.18,SAVUKOSKI_KK,57 years,1964-2021,499.0
187,FIE00146378,215.0,66.8331,28.6781,SALLA_KK_MYLLYTIE,54 years,1967-2021,501.0
188,FIE00146423,254.0,67.9681,23.6803,MUONIO_ALAMUONIO,60 years,1959-2019,505.0
189,FIE00146538,240.0,67.8206,27.7503,SODANKYLA_LOKKA,62 years,1959-2021,517.0
190,FIE00146543,247.0,68.0839,27.1894,SODANKYLA_VUOTSO,62 years,1959-2021,518.0
191,FIE00146548,285.0,68.4,27.3831,INARI_LAANILA,54 years,1960-2014,519.0
192,FIE00146563,302.0,68.4142,27.4175,INARI_SAARISELKA_MATKAILUKESKU,61 years,1960-2021,521.0
193,FIE00146688,147.0,68.6069,27.4181,INARI_IVALO_LENTOASEMA,62 years,1959-2021,530.0
194,FIE00146693,152.0,69.0669,27.1228,INARI_TOIVONIEMI,55 years,1959-2014,531.0
195,FIE00146698,107.0,69.7556,27.0119,UTSJOKI_KEVO,59 years,1962-2021,532.0
196,FIE00146703,22.0,70.0814,27.9006,UTSJOKI_NUORGAM,51 years,1970-2021,533.0
197,FIE00146753,156.0,69.1403,27.27,INARI_KAAMANEN,62 years,1959-2021,536.0
198,FIE00146768,120.0,68.8483,28.3031,INARI_NELLIM_1,55 years,1959-2014,538.0
199,FIE00146783,123.0,68.8489,28.3039,INARI_NELLIM,61 years,1960-2021,541.0
200,FIM00002801,476.0,69.05,20.783,ENONTEKIO_KILPISJARVI,62 years,1959-2021,544.0
201,FIXLT325413,8.0,63.1,21.8,VAASA,53 years,1951-2004,548.0
202,GL000004320,12.0,76.77,-18.67,DANMARKSHAVN,70 years,1951-2021,553.0
203,GLE00007987,25.0,65.4,-52.8667,MANIITSOQ,51 years,1961-2012,556.0
204,GLE00146908,126.0,72.7831,-56.1331,MITT_UPERNAVIK,60 years,1961-2021,562.0
205,GLE00147041,12.0,66.9167,-53.6667,SISIMIUT,52 years,1961-2013,567.0
206,GLE00147061,10.0,66.95,-53.7167,MITT_SISIMIUT,58 years,1962-2020,568.0
207,GLE00147231,36.0,62.0167,-49.6667,MITT_PAAMIUT,62 years,1958-2020,569.0
208,GLE00147281,27.0,61.1667,-45.4167,MITT_NARSARSUAQ,59 years,1961-2020,571.0
209,GLE00147301,32.0,60.7167,-46.05,QAQORTOQ,59 years,1961-2020,572.0
210,GLE00147308,18.0,60.7167,-46.0331,QAQORTOQ_HELIPORT,57 years,1963-2020,573.0
211,GLE00147331,25.0,60.9167,-46.05,NARSAQ_HELIPORT,62 years,1958-2020,574.0
212,GLE00147401,36.0,81.6,-16.6497,STATION_NORD,69 years,1952-2021,575.0
213,GLE00147481,70.0,70.4831,-21.95,ITTOQQORTOORMIIT,80 years,1941-2021,578.0
214,GLE00147641,88.0,60.05,-43.1667,IKERASASSUAQ,62 years,1958-2020,584.0
215,GLM00004220,41.0,68.7,-52.85,AASIAAT_EGEDESMINDE,78 years,1943-2021,585.0
216,GLM00004390,19.0,60.033,-43.117,PRINS_CHRISTIAN,78 years,1943-2021,586.0
217,GLW00016404,28.0,61.2167,-48.1167,IVIGTUT,91 years,1875-1966,587.0
218,GLW00016504,50.3,67.0167,-50.8,SONDRESTROM,71 years,1949-2020,588.0
219,GLW00017605,77.1,76.5167,-68.8333,THULE_OP_SITE,75 years,1946-2021,590.0
220,GLXLT055213,41.0,70.5,-22.0,KAP_TOBIN,59 years,1931-1990,591.0
221,IC000004092,23.0,64.6831,-15.2275,TEIGARHORN,72 years,1937-2009,598.0
222,IC000004097,9.0,65.2667,-13.5831,DALATANGI,72 years,1949-2021,599.0
223,ICM00004082,7.3,64.296,-15.227,HORNAFJORDUR,70 years,1951-2021,606.0
224,ICW00016201,50.3,63.9667,-22.6,KEFLAVIK,78 years,1943-2021,609.0
225,JN000099950,10.0,70.93,-7.33,JAN_MAYEN,84 years,1937-2021,611.0
226,NO000001212,8.0,62.8667,6.5331,ONA_HUSOY,52 years,1963-2015,613.0
227,NO000016740,626.0,62.1,9.05,KJOEREMSGRENDE,60 years,1954-2014,615.0
228,NO000050540,12.0,60.3831,5.3331,BERGEN_FLORIDA,64 years,1957-2021,616.0
229,NO000068330,242.0,63.2,11.117,SELBU_STUBBE,86 years,1920-2006,618.0
230,NO000080700,39.0,66.8167,13.9831,GLOMFJORD,78 years,1943-2021,619.0
231,NO000099710,16.0,74.5167,19.0167,BJOERNOEYA,84 years,1937-2021,622.0
232,NOE00104443,11.0,68.1503,14.6506,SKROVA_FYR,67 years,1954-2021,623.0
233,NOE00105467,11.0,67.2669,14.3589,BODOE_VI,81 years,1940-2021,624.0
234,NOE00105476,6.0,76.5,25.0667,HOPEN,76 years,1945-2021,625.0
235,NOE00105477,10.0,70.9331,-8.6667,JAN_MAYEN,94 years,1921-2015,626.0
236,NOE00105482,167.0,60.5683,9.1217,NESBYEN_SKOGLUND,71 years,1943-2014,627.0
237,NOE00105494,14.0,70.3669,31.0844,VARDOE,90 years,1931-2021,628.0
238,NOE00105498,131.0,69.4633,25.5019,KARASJOK_MARKANNJARGA,78 years,1943-2021,629.0
239,NOE00105503,166.0,60.5669,9.1333,NESBYEN_TODOKK,78 years,1943-2021,630.0
240,NOE00105505,381.0,69.5794,23.5342,SUOLOVUOPMI_LULIT,52 years,1969-2021,631.0
241,NOE00109394,76.0,69.0589,18.5403,BARDUFOSS,75 years,1946-2021,632.0
242,NOE00109459,13.0,71.0931,23.995,FRUHOLMEN_FYR,67 years,1954-2021,633.0
243,NOE00109476,10.0,70.4003,28.2003,RUSTEFJELBMA,59 years,1954-2013,634.0
244,NOE00109485,382.0,68.7553,23.5383,SIHCCAJAVRI,67 years,1954-2021,635.0
245,NOE00109497,377.0,69.5881,23.5317,SUOLOVUOPMI,51 years,1963-2014,636.0
246,NOE00109514,202.0,60.2064,11.0803,GARDERMOEN,81 years,1940-2021,637.0
247,NOE00109604,10.0,63.7003,9.6014,ORLAND,70 years,1951-2021,638.0
248,NOE00109613,628.0,62.5669,11.3833,ROROS,60 years,1954-2014,639.0
249,NOE00109622,625.0,62.5769,11.3517,ROROS_AIRPORT,67 years,1954-2021,640.0
250,NOE00109701,240.0,61.1592,11.4425,RENAHAUGEDALEN,56 years,1958-2014,641.0
251,NOE00109737,13.0,62.8594,6.5392,ONA_II,58 years,1963-2021,643.0
252,NOE00109746,15.0,62.2333,7.4167,TAFJORD,68 years,1953-2021,644.0
253,NOE00109768,38.0,61.0267,5.385,TAKLE,65 years,1956-2021,645.0
254,NOE00109777,8.0,71.0839,28.2178,SLETTNES_FYR,65 years,1956-2021,646.0
255,NOE00109966,672.0,61.8869,12.0481,DREVSJO,64 years,1957-2021,648.0
256,NOE00109984,128.0,60.7806,10.8117,KISE_PA_HEDMARK,64 years,1957-2021,649.0
257,NOE00110038,639.0,60.9181,9.2903,ABJORSBRATEN,63 years,1954-2017,650.0
258,NOE00110119,264.0,60.7,10.8667,OSTRE_TOTENAPELSVOLL,64 years,1957-2021,651.0
259,NOE00110653,48.0,60.2892,5.2264,BERGEN_FLESLAND,66 years,1955-2021,655.0
260,NOE00111111,33.0,64.7978,10.5492,NORDOYAN_FYR,70 years,1951-2021,660.0
261,NOE00111165,33.0,67.2831,14.4667,BODOEVAGONES,53 years,1961-2014,661.0
262,NOE00111273,228.0,68.7781,19.71,DIVIDALEN,76 years,1938-2014,662.0
263,NOE00111318,21.0,70.2456,19.5006,TORSVAG_FYR,67 years,1954-2021,663.0
264,NOE00111327,286.0,69.3667,24.4331,CUOVDDATMOHKKI,55 years,1966-2021,664.0
265,NOE00111336,307.0,68.9967,23.0333,KAUTOKEINO,67 years,1954-2021,665.0
266,NOE00111345,330.0,69.0167,23.0339,KAUTOKEINO_II,60 years,1954-2014,666.0
267,NOE00111354,9.0,70.7006,30.0681,MAKKAUR_FYR,70 years,1951-2021,667.0
268,NOE00111385,6.0,66.0,2.0,MIKE,60 years,1949-2009,670.0
269,NOE00112071,12.0,63.5,10.89,VAERNES,81 years,1940-2021,671.0
270,NOE00112080,14.0,69.3,16.1497,ANDOYA,61 years,1958-2019,672.0
271,NOE00112089,195.0,64.16,12.47,KJOBLI_I_SNAASA,66 years,1955-2021,673.0
272,NOE00133110,3.0,69.9775,23.3581,ALTA_LUFTHAVN,58 years,1963-2021,675.0
273,NOE00133650,38.0,62.3292,5.2681,SVINOY_FYR,66 years,1955-2021,685.0
274,NOE00133746,22.0,62.5617,6.115,VIGRA,63 years,1958-2021,690.0
275,NOE00133954,9.0,68.2453,14.6692,SVOLVAER_LUFTHAVN,67 years,1954-2021,698.0
