Code,Latitude,Longitude,Elevation,Name
CA002302335,68.6333,-95.85,47.0,GJOA_HAVEN_A
CA002302337,68.6333,-95.85,47.0,GJOA_HAVEN
CA002302340,68.6333,-95.85,42.0,GJOA_HAVEN_CLIMATE
CA002302370,68.3167,-100.0833,36.0,HAT_ISLAND
CA002302680,68.5,-113.2167,16.0,LADY_FRANKLIN_POINT_A
CA0023026HN,65.7667,-111.25,490.0,LUPIN_A
CA002303090,68.4333,-89.7167,326.0,PELLY_BAY
CA002303092,68.5333,-89.8,16.0,KUGAARUK_A
CA002303093,68.4333,-89.7333,328.0,CAM_FOUR
CA002303094,68.5333,-89.8,16.0,KUGAARUK_CLIMATE
CA002303401,62.8167,-92.1167,32.0,RANKIN_INLET_A
CA002303610,65.1,-102.4333,244.0,ROBERTSON_LAKE_AUT
CA002303685,68.8167,-93.4333,43.0,SHEPHERD_BAY_A
CA002303986,62.2333,-92.6,12.0,WHALE_COVE_A
CA00230J01Q,69.2833,-119.2167,69.0,CROKER_RIVER
CA00230N002,65.75,-111.25,488.0,LUPIN_CS
CA002400300,82.5167,-62.2833,30.0,ALERT
CA002400305,82.5,-62.3333,65.0,ALERT_CLIMATE
CA002400306,82.5,-62.3333,65.0,ALERT_UA
CA002400400,73.0333,-85.15,22.0,ARCTIC_BAY
CA002400404,73.0,-85.0167,10.0,ARCTIC_BAY_CS
CA002400565,63.3333,-64.15,376.0,BREVOORT_ISLAND
CA002400570,67.5333,-63.7833,584.0,FOX_FIVE
CA002400572,67.55,-64.0333,6.0,QIKIQTARJUAQ_A
CA002400573,67.55,-64.0333,6.0,QIKIQTARJUAQ_CLIMATE
CA002400577,67.55,-64.0333,6.0,QIKIQTARJUAQ
CA002400595,68.75,-109.0667,92.0,BYRON_BAY_A
CA002400600,69.1,-105.1333,31.0,CAMBRIDGE_BAY_A
CA002400602,69.1,-105.1333,19.0,CAMBRIDGE_BAY_GSN
CA002400634,64.2333,-76.5333,48.0,CAPE_DORSET_AWOS
CA002400635,64.2333,-76.5333,48.0,CAPE_DORSET_A
CA002400636,64.2333,-76.5333,50.0,CAPE_DORSET_CLIMATE
CA002400637,64.2333,-76.5333,48.0,CAPE_DORSET
CA002400650,66.65,-61.3833,725.0,CAPE_DYER
CA002400654,66.5833,-61.6167,393.0,CAPE_DYER_A
CA002400660,68.4667,-66.8167,390.0,CAPE_HOOPER
CA002400697,69.0333,-107.8167,165.0,CAPE_PEEL_WEST
CA002400800,70.4833,-68.5167,27.0,CLYDE_A
CA002400802,70.4833,-68.5167,27.0,CLYDE_RIVER_CLIMATE
CA002400804,70.4833,-68.5167,27.0,CLYDE_RIVER
CA002400F63,64.95,-63.5833,583.0,CAPE_MERCY
CA002401030,68.65,-71.1667,527.0,DEWAR_LAKES
CA002401200,79.9833,-85.9333,10.0,EUREKA
CA002402051,72.0167,-94.2,10.0,FORT_ROSS
CA002402332,70.6333,-100.2667,20.0,GATESHEAD_ISLAND
CA002402340,68.6667,-97.8,14.0,GLADMAN_POINT_A
CA002402350,68.7833,-81.25,9.0,HALL_BEACH_A
CA002402353,68.7833,-81.25,8.0,HALL_BEACH_CLIMATE
CA002402354,68.7833,-81.25,9.0,HALL_BEACH
CA002402540,69.3833,-81.8,21.0,IGLOOLIK
CA002402543,69.3667,-81.8167,53.0,IGLOOLIK_A
CA002402590,63.75,-68.55,34.0,IQALUIT_A
CA002402592,63.75,-68.55,34.0,IQALUIT_CLIMATE
CA002402594,63.75,-68.55,22.0,IQALUIT_UA
CA002402600,78.7833,-103.5333,25.0,ISACHSEN
CA002402604,78.8,-103.55,58.0,ISACHSEN_AUT
CA002402681,62.8333,-69.9167,17.0,LAKE_HARBOUR
CA002402684,68.9,-75.1333,161.0,LONGSTAFF_BLUFF
CA002402686,68.3,-85.6667,395.0,MACKAR_INLET
CA002402730,72.9833,-84.6167,642.0,NANISIVIK_A
CA002402900,63.1167,-77.9333,17.0,NOTTINGHAM_ISLAND
CA002403000,67.0333,-62.7333,40.0,PADLOPING_ISLAND
CA002403049,66.15,-65.7167,23.0,PANGNIRTUNG
CA002403050,66.1333,-65.7333,15.0,PANGNIRTUNG
CA002403053,66.15,-65.7167,24.0,PANGNIRTUNG_A
CA002403200,72.6833,-77.9833,4.0,POND_INLET
CA002403201,72.6833,-77.9667,62.0,POND_INLET_A
CA002403204,72.7,-77.95,65.0,POND_INLET_CLIMATE
CA002403206,72.6833,-77.9667,62.0,POND_INLET
CA002403450,75.3833,-105.7167,15.0,REA_POINT
CA002403490,66.5167,-86.2167,23.0,REPULSE_BAY_A
CA002403500,74.7167,-94.9667,68.0,RESOLUTE_CARS
CA002403505,74.7167,-94.9833,30.0,RESOLUTE_CS
