,Code,Latitude,Longitude,Elevation,Name,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
387,FIE00144202,62.235,30.3494,90.0,TOHMAJARVI_KEMIE,0.3438596414167992,0.4196773078093247,0.13903588360431937,0.17680268288580964,-0.13026391690943745,0.1457545935036137,0.4151263826252623,0.44128986764132055,0.24447969086967214,0.3558853917223587,0.17999783795886234,0.16031822154989947
388,FIE00144212,63.0417,21.7678,6.0,VAASA_VAASAN_LENTOASEMA,0.5180359153504491,0.45912743484607665,0.27190300096134296,0.2027101672603763,0.01450741325895873,0.30439152431616207,0.3880530189685986,0.5254634816690625,0.2075306943156708,0.42049625975876953,0.2661454678923046,0.2362576734554805
389,FIE00144222,63.4353,21.0681,4.0,MUSTASAARI_VALASSAARET,0.6036238282267903,0.6010470561620718,0.5586847068036381,0.6477494409404669,0.3958895845659315,0.42371654242234225,0.5597884574590153,0.5084132397242921,0.3447231317620343,0.5360026923027938,0.31663263881953446,0.26531870409554925
390,FIE00144227,63.0831,21.65,9.0,VAASA_HIETALAHTI,0.5261923987821161,0.3910197667209245,0.2755544990956381,0.34617411920882724,0.11514239878811353,0.5444462323605352,0.5169209288650755,0.5119235658941643,0.3167978034196663,0.4541624292785286,0.34266793901181686,0.16007679995148336
391,FIE00144287,62.8831,21.1,4.0,KORSNAS_MOIKIPAA,0.5094613306203488,0.3071658925464117,0.3314717007496895,0.5155546783173935,0.43718646773974046,0.3754420871304273,0.4571456162573812,0.6038198270525716,0.28275699885687355,0.33771766261292585,0.1906501282968406,0.0734670798987523
392,FIE00144296,62.9344,21.1883,2.0,KORSNAS_BREDSKARET,0.39786260263013506,0.5335876810800981,0.42125764047053993,0.1501846127993669,0.08247684625572266,0.09704163818227368,0.5695569446976416,0.6617777275148382,0.29344409784855213,0.6366450838722445,0.45222534564906686,0.22456599818514097
393,FIE00144302,63.1,21.6,4.0,VAASA_PALOSAARI,0.40884710034168514,0.43172007431808673,0.25258923039991277,0.37280836478609014,0.16234924581754345,0.5664479971593245,0.5053889792049449,0.5009245169789662,0.1980375147397733,0.5017457935302866,0.3803723976108716,0.16949788840475735
394,FIE00144306,62.9781,20.7433,2.0,MAALAHTI_STROMMINGSBADAN,0.35296986297635585,0.6463215725623259,0.5281781439784672,0.11530614326096834,0.4611561655155526,0.14549923893228248,0.2303071987558927,0.520012768282615,0.176043830041938,0.7204685414856732,0.44960297112077907,0.2864188131824281
395,FIE00144322,62.9367,22.4908,26.0,SEINAJOKI_PELMAA,0.5026586137157655,0.420698725199267,0.1789580374627657,0.16134508460314045,-0.02453990125066825,0.2851024977899662,0.5002404831459776,0.49477648392232765,0.1601875166547205,0.4022739922394614,0.26123026497125873,0.22629124782756424
396,FIE00144402,62.55,22.95,102.0,PERASEINAJOKI_HAUKINEVA,0.5609494837525788,0.3062308586418018,0.10841437340073236,-0.008666520075516746,-0.0025735740214003072,0.24688564074829158,0.22843315900119027,0.23806501711193404,-0.17748909336618873,0.14619808062991702,-0.1470429048014779,0.2198446964473685
397,FIE00144407,63.1203,23.0469,42.0,KAUHAVA_LENTOKENTTA,0.4658600420884662,0.4058799143031287,0.16911575552171346,0.13776735854842773,-0.058166668564950855,0.24001458161101027,0.4546540917333812,0.47367221802077486,0.20282944111929735,0.42906915587777045,0.24947708327850754,0.2458465630421406
398,FIE00144412,62.9667,23.0167,34.0,LAPUA_SIIRILA,0.4534654645774632,0.33785458242747235,-0.06419172923098355,0.12027064215108259,-0.13465373417320903,0.5570337338453925,0.20138373102553578,0.2905365187464727,0.3752741727601701,0.35150698777833156,-0.08296746894078759,-0.10855345720699634
399,FIE00144477,63.12,23.0469,40.0,KAUHAVA_KK_UUNIMAANTIE,0.4857829848905566,0.2304684456697934,0.3509230795618428,-0.23170900862945074,0.5107301738398317,-0.048638752422628835,0.7308150027717092,0.7992436963041815,0.0663666878246267,0.3118235191823047,0.5180795958482528,0.6184980783795374
400,FIE00144482,62.5344,24.2206,157.0,AHTARI_MYLLYMAKI,0.43229779395670176,0.35988456746285524,0.06724910984944416,0.12770289893089065,-0.07533850748475722,0.18947201762453905,0.4011816790534957,0.43812881653236896,0.16999671550913276,0.38231824037056544,0.23888039515169382,0.2241551207336345
401,FIE00144492,63.0506,24.2817,202.0,ALAJARVI_MOKSY_1,0.5175595856008394,0.34589567265840193,0.06530846385240544,0.15966504154396385,-0.009156884673145228,0.4332557375639866,0.4838980213879202,0.45756670683514283,0.279673601412044,0.3898100011113243,0.061783113714737374,0.1781104729612572
402,FIE00144522,63.4453,24.4478,153.0,HALSUA_KANALA_PUROLA,0.06810638714122175,0.4470708096514485,-0.24596322681667784,0.15256195766425149,-0.0537281872694542,-0.15411418724341705,0.2513189927758861,0.4515524076094652,0.06558802115685654,0.5095941617405692,0.5121636777514945,0.25075717560406585
403,FIE00144537,63.4667,24.1667,128.0,HALSUA_KK,0.5229841604696186,0.3308702440969291,0.009912231655349634,-0.010333992079203299,-0.20405677134858194,0.2463821212110701,0.12729720809697415,0.12774123157915662,0.12067939695389361,0.2122853994768298,0.04566700940274475,0.1609152378881206
404,FIE00144542,63.0889,24.2642,170.0,ALAJARVI_MOKSY,0.12767963698674276,0.2958067705039798,0.03180504950103788,0.30972560557603923,-0.2091783480950474,-0.20108864704166726,0.25061633888836965,0.22996327211277653,0.048831344089628456,0.4719496556139609,0.47708617175457557,0.27512552264812107
405,FIE00144552,62.5103,24.8108,227.0,MULTIA_KARHILA,0.2110355473735542,0.395072390059868,-0.0123312516660445,0.2750954857061668,-0.05068693279297664,-0.17979193643830152,0.5241374991263991,0.47551904600898615,0.37745663929544016,0.5018065923896073,0.5527651334782102,0.5089609582123338
406,FIE00144557,63.0817,25.8617,132.0,VIITASAARI_HAAPANIEMI,0.3888657613310425,0.34042975927941205,0.08903924431835637,0.25328306881645124,-0.057553666877977507,0.12839099171059518,0.39690184314873644,0.4477563619734154,0.1965822211344555,0.38842431295026725,0.3251608739863053,0.22469323949982875
407,FIE00144637,62.9214,26.4281,120.0,VESANTO_SONKARI,0.41421414094995374,0.3822587202933076,0.12344881281904525,0.27164504840436554,-0.07578931338233359,0.23222569054867237,0.4848346911681535,0.5158256560134589,0.24383550346066638,0.4106678350917864,0.22175765315176973,0.2257010179782846
408,FIE00144687,62.71,26.7781,103.0,RAUTALAMPI_RASTU,0.4069053257506679,0.2577518891952629,0.03283467006419971,-0.04512574760903888,-0.24800496903258007,0.1368064240179593,0.37217298644818475,0.31393908331750886,0.08515539059710103,0.30586080010672045,0.15421682458385225,0.12852434599739684
409,FIE00144702,63.0081,27.8025,99.0,SIILINJARVI_KUOPION_LENTOASEMA,0.39637688963704787,0.421959507104954,0.13716759062334746,0.23403990372036496,-0.1458973983672249,0.15005401367385204,0.3642918619347145,0.37500953800976217,0.2238358879832224,0.3881058426767343,0.18997449658051863,0.19289666864613972
410,FIE00144707,62.9,27.6831,119.0,KUOPIO_INKILANMAKI,0.4931587299914214,0.46310397338754833,0.0680054738863062,0.10618497451800855,-0.15813927409034137,0.3960015740777652,0.23041263557641256,0.21112336262019774,0.16457250786881264,0.28588764536844863,-0.19338896560240512,0.09639112319334453
411,FIE00144712,63.1431,27.3158,90.0,MAANINKA_HALOLA,0.39953804755384936,0.3882088775612835,0.1307440717544691,0.2937216828168257,-0.07934844502321631,0.2568436997470253,0.3945083690316865,0.39757608712716563,0.2059728166322255,0.391990783082671,0.19512302298984865,0.20756261484904004
412,FIE00144751,62.7983,27.9081,86.0,KUOPIO_RITONIEMI,0.09683859403183258,0.38817567055799673,0.0415761361402734,0.2536559744370337,0.08157106359689259,-0.278729298607026,0.40434961982677076,0.3326938010079513,0.06888757532994232,0.5795932759168226,0.350458465615154,0.18493093584426618
413,FIE00144771,62.8867,27.6928,88.0,KUOPIO_KESKUSTA,-0.10288199815759375,0.36078732235764605,-0.386127949292344,-0.26642962147733334,0.2945129828989959,0.02628621448334891,-0.07641348058879668,-0.040206572909008254,0.7267462136777353,0.7519222214614482,0.4505023679374042,-0.165177174168264
