,V1,V2,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
28,FIE00142080.csv,51,0.511836599,0.430252917,0.246110159,0.018744365,0.009276348,0.373108682,0.229234873,0.32514296,0.266642238,0.356764875,0.032127043,0.129315847
29,FIE00142090.csv,45,0.50019056,0.45823428,0.408780319,0.186455418,-0.26031579,0.103227187,0.240367798,0.134525525,0.379924761,0.383371164,0.026012394,0.248167728
30,FIE00142111.csv,45,0.432783202,0.377998838,0.011887991,-0.046022571,-0.070810109,0.255728999,0.302964944,0.416705299,0.342894138,0.354894892,-0.167193409,0.010243956
31,FIE00142241.csv,49,0.633242249,0.480883387,0.202293578,-0.023308813,-0.135071569,0.347432193,0.307304967,0.225331221,0.122152523,0.355292392,0.000598243,0.172663319
32,FIE00142251.csv,41,0.474047072,0.732218849,0.250871765,-0.398965693,-0.200662673,0.294855561,0.142866097,0.13178385,0.433929737,0.600638992,-0.41124072,0.082860787
33,FIE00142296.csv,46,0.224821913,0.470334094,0.118890553,-0.074947062,-0.18965698,0.240576394,0.40291598,0.067672437,0.294313774,0.214484104,-0.068762226,-0.102708889
34,GL000004250.csv,51,0.445380459,0.364384908,0.200300223,0.306308516,0.502153433,0.405299396,0.451977077,0.404702663,0.176340341,0.271119603,0.224092066,0.210630207
35,GL000004360.csv,51,0.114212503,0.434189803,0.458155689,0.305931216,0.581565958,0.37838004,0.717443023,0.061996557,0.087149031,0.257175947,0.266614222,0.002412954
36,GLE00100981.csv,51,0.033552873,0.195946918,-0.184727953,0.439467625,0.595883946,0.435196496,0.686483742,0.260721644,-0.235707168,0.23477115,0.217632275,-0.183596435
37,GLE00100992.csv,51,0.248540474,0.627761559,0.181488221,0.379196614,0.605687047,0.126407404,0.745918577,0.315063755,0.091619061,-0.604093677,0.443913559,0.643913529
