,Code,Correlation1,Correlation10,Correlation11,Correlation12,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Elevation,Latitude,Longitude,Name,Time,Unnamed: 0
25,CA002204100,0.15950854783518692,0.28730508804506616,0.2888426757633787,0.07838310456160248,0.2288166307374644,0.21844801851422874,0.3943503700301312,0.4467797385127817,0.4579041293226966,0.28981658531875265,0.27292273397188754,0.1931068455607577,206.0,62.4667,-114.4333,YELLOWKNIFE_A,70 years,111.0
26,CA002204200,0.09945100232536493,0.3635592610833428,0.3022021329457166,-0.14187860363321156,0.01150262129828928,0.10362710195637986,0.22799578898115735,0.42597165435142,0.4591414345460334,0.4755851370539906,0.3073206764253197,0.303581576812445,159.0,62.6667,-114.25,YELLOWKNIFE_HYDRO,57 years,114.0
27,CA002204300,0.6811855277282954,0.7039732475209741,0.5602670608245418,0.5947627426391042,0.8249008326997812,0.9075498306358932,0.91828352011926,0.9313406057244308,0.9570531548804244,0.9354435002897394,0.8959146505782969,0.8019842619826623,204.0,61.25,-123.75,YOHIN,64 years,115.0
28,CA002300500,0.18026952572625884,0.4589741883829373,0.30870998645385705,0.3149696445127497,0.18582054511571056,0.15582098628964866,0.2156997764513438,0.5634758378549544,0.5944647790981072,0.430510498749538,0.3428482470879069,0.5220951061038405,19.0,64.3,-96.0833,BAKER_LAKE_A,75 years,123.0
29,CA002300551,0.816664170791955,0.788678125357846,0.7524768120268619,0.4786065568942906,0.8056691827429792,0.9354468989652308,0.9624827295614876,0.8943945405440844,0.7451021042871979,0.6758528650703263,0.7162526746582484,0.7862366807122526,5.0,66.8333,-108.0167,BATHURST_INLET,64 years,125.0
30,CA002300700,0.035451783584731125,0.4402315651529571,0.2564456700001497,-0.07519006578161637,0.1501495362171301,0.022034878163261943,0.28329794822220405,0.4792335698465305,0.5738667549790168,0.35302098426681816,0.3963808940768669,0.4319012597652525,59.0,63.3333,-90.7167,CHESTERFIELD,60 years,126.0
31,CA002300707,0.08119896004373403,0.615821580361657,0.27593620611820674,0.107815314717616,0.097365454464936,0.12642550715765544,0.2277767836651091,0.5729691458143437,0.7106326646344777,0.5106379894094146,0.4476253441936344,0.4959419145678301,10.0,63.35,-90.7333,CHESTERFIELD_INLET_A,82 years,127.0
32,CA002300900,0.13587231417740936,0.281128288943612,0.396748120579979,0.0787458353842217,0.19191545753526532,0.17181310517902573,0.2305315512279533,0.3140613463898244,0.6093044502223356,0.2569184980834701,0.21781171583956527,0.3752329704495736,9.0,67.8333,-115.1167,COPPERMINE,74 years,130.0
33,CA002300902,0.19215208439744472,0.2086704499711479,0.4662807098387336,0.3245652414109901,0.2485410013991555,0.2428317636415949,0.11793146412224242,0.31762886200964485,0.43616254514000813,0.35984637899782795,0.36888894661413546,0.26390324663142123,23.0,67.8167,-115.15,KUGLUKTUK_A,77 years,131.0
34,CA002301000,0.2327327269719387,0.4949279574774684,0.4026102039335349,0.1902792751098187,0.10170327968691216,0.24487329797324245,0.09389536984250024,0.5097922902803068,0.506409465205164,0.5299143235839043,0.4566717286838876,0.5069655892035754,62.0,64.2,-83.3667,CORAL_HARBOUR_A,88 years,134.0
