,Code,Elevation,Latitude,Longitude,Name,Time,Time Range
154,RSM00022292,4,67.7,48.77,INDIGA,98 years,1923-2021
155,RSM00022324,39,66.67,34.33,UMBA,85 years,1936-2021
156,RSM00022349,9,66.183,39.533,PJALICA,72 years,1949-2021
157,RSM00022355,15,66.48,40.68,OSTROV_SOSNOVEZ,121 years,1897-2018
158,RSM00022408,118,65.2,31.17,UKHTA_KALEVALA,85 years,1936-2021
159,RSM00022422,9,65.9,34.8164,GRIDINO,103 years,1915-2018
160,RSM00022438,26,65.2,36.82,ZHIZHGIN_MAYAK,85 years,1936-2021
161,RSM00022471,14,65.87,44.22,MEZEN,84 years,1937-2021
162,RSM00022520,7,64.9831,34.8164,KEM_PORT,159 years,1862-2021
163,RSM00022522,8,64.95,34.65,KEM,69 years,1937-2006
164,RSM00022550,8,64.5,40.7331,ARHANGELSK,208 years,1813-2021
165,RSM00022563,31,64.7,43.383,PINEGA,72 years,1949-2021
166,RSM00022583,63,64.75,47.65,KOJNAS,109 years,1912-2021
167,RSM00022602,180,63.82,30.82,REBOLY,107 years,1914-2021
168,RSM00022641,13,63.9,38.1167,ONEGA,134 years,1887-2021
169,RSM00022721,81,62.917,34.433,MEDVEZEGORSK,72 years,1949-2021
170,RSM00022768,47,62.1,42.9,SHENKURSK,137 years,1884-2021
171,RSM00022802,17,61.7167,30.7167,SORTAVALA,140 years,1881-2021
172,RSM00022820,110,61.8167,34.2667,PETROZAWODSK,205 years,1816-2021
173,RSM00022837,55,61.0167,36.45,VYTEGRA,140 years,1881-2021
174,RSM00022845,124,61.5,38.93,KARGOPOL,138 years,1883-2021
175,RSM00022854,233,61.7,40.2,NJANDOMA,72 years,1949-2021
176,RSM00022887,56,61.2331,46.7167,KOTLAS,109 years,1912-2021
177,RSM00022892,14,60.72,28.8,VYBORG,81 years,1940-2021
178,RSM00022907,6,60.08,26.97,GOGLAND,138 years,1881-2019
179,RSM00022939,131,60.033,37.783,BELOZERSK,72 years,1949-2021
180,RSM00022954,202,60.467,40.2,VOZEGA,72 years,1949-2021
181,RSM00022981,98,60.8,46.3,VELIKIJ_USTJUG,84 years,1937-2021
182,RSM00023022,53,69.75,61.7,AMDERMA,87 years,1934-2021
183,RSM00023032,24,69.72,66.8194,MARRE_SALE,107 years,1914-2021
184,RSM00023074,14,69.4,86.17,DUDINKA,106 years,1906-2012
185,RSM00023205,5,67.6331,53.0331,NARJAN_MAR,95 years,1926-2021
186,RSM00023219,84,67.0831,59.3831,HOSEDA_HARD,85 years,1931-2016
187,RSM00023242,12,67.6994,72.9494,NOVY_PORT,85 years,1936-2021
188,RSM00023256,26,67.47,78.73,TAZOVSKOE,85 years,1936-2021
189,RSM00023274,20,67.47,86.57,IGARKA,85 years,1936-2021
190,RSM00023324,58,66.43,60.77,PETRUN,117 years,1904-2021
191,RSM00023330,15,66.5294,66.5294,SALEKHARD,139 years,1882-2021
192,RSM00023345,5,66.5997,72.9,NYDA,71 years,1948-2019
193,RSM00023383,277,66.8797,93.47,AGATA,81 years,1939-2020
194,RSM00023405,78,65.4331,52.2667,UST_TZILMA,132 years,1889-2021
195,RSM00023412,77,65.97,56.9194,UST_USA,85 years,1936-2021
196,RSM00023418,53,65.1167,57.1,PECHORA,78 years,1943-2021
197,RSM00023472,38,65.7831,87.9331,TURUHANSK,140 years,1881-2021
198,RSM00023527,28,64.28,60.88,SARAN_PAUL,85 years,1936-2021
199,RSM00023552,26,64.92,77.82,TARKO_SALE,85 years,1936-2021
200,RSM00023631,27,63.93,65.05,BEREZOVO,140 years,1881-2021
201,RSM00023662,31,63.98,82.08,TOLKA,74 years,1947-2021
202,RSM00023678,46,63.15,87.95,VERHNEIMBATSK,110 years,1911-2021
203,RSM00023711,135,62.7,56.2,TROICKO_PECHERSKOE,133 years,1888-2021
204,RSM00023724,51,62.43,60.8694,NJAKSIMVOL,88 years,1933-2021
205,RSM00023734,70,62.45,66.05,OKTYABR_SKOYE,85 years,1936-2021
206,RSM00023804,116,61.6667,50.8667,SYKTYVKAR,204 years,1817-2021
