,Code,Latitude,Longitude,Elevation,Name
135,RSM00023331,66.9,65.67,895.0,RA_IZ
136,RSM00023339,66.033,68.683,36.0,POLUJ
137,RSM00023345,66.5997,72.9,5.0,NYDA
138,RSM00023365,66.5997,82.3,34.0,SIDOROVSK
139,RSM00023383,66.8797,93.47,277.0,AGATA
140,RSM00023405,65.4331,52.2667,78.0,UST_TZILMA
141,RSM00023412,65.97,56.9194,77.0,UST_USA
142,RSM00023418,65.1167,57.1,53.0,PECHORA
143,RSM00023426,65.382,64.717,19.0,MUZI
144,RSM00023431,65.833,65.933,17.0,PITLYAR
145,RSM00023445,65.47,72.67,14.0,NADYM
146,RSM00023463,65.98,84.27,41.0,JANOV_STAN
147,RSM00023465,65.7,82.45,25.0,KRASNOSEL'KUPSK
148,RSM00023471,60.917,76.6,55.0,NIZHNEVARTOVSK
149,RSM00023472,65.7831,87.9331,38.0,TURUHANSK
150,RSM00023503,65.033,53.967,52.0,IZHMA
151,RSM00023514,64.52,55.4,156.0,IRAEL
152,RSM00023518,64.266,57.617,75.0,UST_SUGOR
153,RSM00023527,64.28,60.88,28.0,SARAN_PAUL
154,RSM00023552,64.92,77.82,26.0,TARKO_SALE
155,RSM00023589,64.2,93.78,105.0,TUTONCHANY
156,RSM00023606,63.55,53.817,137.0,UHTA
157,RSM00023625,63.65,62.1,28.0,SOSVA
158,RSM00023631,63.93,65.05,27.0,BEREZOVO
159,RSM00023635,63.667,69.6,86.0,YUIL'SK
160,RSM00023656,63.38,78.32,66.0,HALESOVAJA
161,RSM00023662,63.98,82.08,31.0,TOLKA
162,RSM00023678,63.15,87.95,46.0,VERHNEIMBATSK
163,RSM00023701,62.983000000000004,50.9,103.0,VESLJANA
164,RSM00023707,62.23,50.42,106.0,UST_VUM
165,RSM00023711,62.7,56.2,135.0,TROICKO_PECHERSKOE
166,RSM00023724,62.43,60.8694,51.0,NJAKSIMVOL
167,RSM00023734,62.45,66.05,70.0,OKTYABR_SKOYE
168,RSM00023774,62.483000000000004,86.27799999999999,60.0,KELLOG
169,RSM00023776,62.464,89.008,57.0,BAHTA
170,RSM00023788,62.317,92.117,62.0,KUZMOVKA
171,RSM00023803,61.683,53.683,144.0,UST_KULOM
172,RSM00023804,61.6667,50.8667,116.0,SYKTYVKAR
173,RSM00023847,61.3,71.3,33.4,SYTOMINO
174,RSM00023849,61.25,73.5,55.0,SURGUT
175,RSM00023862,61.536,82.42299999999999,71.0,KORLIKI
176,RSM00023867,61.1,80.25,55.0,LARYAK
177,RSM00023884,61.6,90.0167,62.0,BOR
178,RSM00023891,61.6667,96.3667,256.0,BAJKIT
179,RSM00023904,60.45,50.97,124.0,KOIGORODOK
180,RSM00023909,60.283,54.35,198.0,GAJNY
181,RSM00023914,60.4,56.52,208.0,CHERDYN
182,RSM00023921,60.6831,60.45,93.0,IVDEL
183,RSM00023929,60.317,64.217,53.0,SAIM
184,RSM00023933,61.0167,69.1167,46.0,HANTY_MANSIJSK
185,RSM00023939,60.333,68.967,32.0,ALTAJ
186,RSM00023946,60.5,74.02,47.0,UGUT
187,RSM00023955,60.4331,77.8667,47.0,ALEKSANDROVSKOE
188,RSM00023966,60.35,84.08,98.0,VANZIL_KYNAK
189,RSM00023973,61.033,89.633,49.0,VOROGOVO
190,RSM00023975,60.35,88.367,86.0,SYM
191,RSM00023986,60.38,93.03,513.0,SEVERO_ENISEJSK
192,RSM00023987,60.25,90.23299999999999,58.0,JARCEVO
193,RSM00023992,60.724,97.514,178.0,UST'_KAMO
194,RSM00024076,69.33,139.6697,282.0,DEPUTATSKIJ
195,RSM00024105,68.47,102.37,272.0,ESSEJ
196,RSM00024125,68.5,112.4331,217.0,OLENEK
197,RSM00024136,68.62,118.33,78.0,SUHANA
198,RSM00024143,68.73,124.0,38.0,DZARDZAN
199,RSM00024197,68.233,145.3,152.0,DRUZINA
200,RSM00024266,67.5667,133.4,136.0,VERHOJANSK
201,RSM00024329,66.25,114.28,233.0,SELAGONCY
202,RSM00024343,66.7667,123.4,88.0,ZHIGANSK
203,RSM00024371,66.8,136.68,274.0,UST_CHARKY
204,RSM00024382,66.45,143.2297,195.0,UST_MOMA
205,RSM00024507,64.2667,100.2331,188.0,TURA
206,RSM00024538,64.23,116.92,137.0,CHUMPURUK
207,RSM00024557,64.283,126.45,85.0,SOGO_HAYA
208,RSM00024561,65.0,130.683,737.0,SYURYUN_KYUYEL
209,RSM00024585,64.566,143.2,523.0,UST_NERA
210,RSM00024598,64.167,148.033,845.0,DARPIR
211,RSM00024606,63.58,103.97,209.0,KISLOKAN
212,RSM00024639,63.283,118.333,119.0,NJURBA
213,RSM00024641,63.7831,121.6167,110.0,VILJUJSK
214,RSM00024643,63.95,124.83,76.0,HATYRYK_HOMO
215,RSM00024652,63.967,127.46700000000001,96.0,SANGARY
216,RSM00024656,63.516999999999996,129.483,79.0,BATAMAJ
217,RSM00024661,64.0,130.3,208.0,SEGEN_KYUEL
218,RSM00024668,63.317,132.017,91.0,VERHOYANSKIJPEREVOZ
